flow_key,total_bytes,incoming_bytes,outgoing_bytes,max_packet_length_bytes,min_packet_length_bytes,total_packets,incoming_packets,outgoing_packets,tcp_syn_count,tcp_ack_count,tcp_psh_count,tcp_fin_count,tcp_rst_count,current_pkt_len,iat_sum,iat_max,ttl,label
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8480,1018,7462,204,79,50,9,41,0,0,0,0,0,181,755.8348178863525,26.071548461914062,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11749,232,11517,1274,98,50,2,48,0,0,0,0,0,113,845.7469940185547,27.092695236206055,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10194,4420,5774,1262,86,50,8,42,0,0,0,0,0,166,845.806360244751,67.03329086303711,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7559,3971,3588,262,99,50,25,25,0,0,0,0,0,108,477.33378410339355,18.93019676208496,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6777,5678,1099,198,91,50,40,10,0,0,0,0,0,198,727.1537780761719,32.317161560058594,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",12740,7206,5534,1274,98,50,43,7,0,0,0,0,0,172,798.2699871063232,33.60867500305176,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10584,9319,1265,1262,86,50,43,7,0,0,0,0,0,183,725.5687713623047,167.15550422668457,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8684,4441,4243,253,90,50,27,23,0,0,0,0,0,145,423.89988899230957,26.923179626464844,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10769,6250,4519,1282,100,50,25,25,0,0,0,0,0,158,443.7432289123535,26.05605125427246,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8606,4629,3977,1217,100,50,24,26,0,0,0,0,0,111,431.1857223510742,23.623943328857422,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11111,2839,8272,1274,90,50,22,28,0,0,0,0,0,91,346.59838676452637,21.500825881958008,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",9106,3771,5335,262,90,50,23,27,0,0,0,0,0,262,402.78053283691406,20.100116729736328,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8977,4140,4837,262,90,50,25,25,0,0,0,0,0,193,387.376070022583,20.79010009765625,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",9636,6277,3359,1262,86,50,25,25,0,0,0,0,0,262,423.4795570373535,23.98061752319336,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8654,3620,5034,262,91,50,23,27,0,0,0,0,0,133,428.4508228302002,21.97408676147461,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8393,3102,5291,262,98,50,22,28,0,0,0,0,0,175,426.06043815612793,19.03533935546875,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7352,3880,3472,194,103,50,25,25,0,0,0,0,0,179,489.75610733032227,19.976139068603516,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",12244,4000,8244,1274,98,50,23,27,0,0,0,0,0,162,448.26769828796387,21.088361740112305,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8471,4010,4461,191,114,50,25,25,0,0,0,0,0,124,471.7860221862793,20.55048942565918,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8570,4503,4067,1262,86,50,18,32,0,0,0,0,0,158,676.3393878936768,73.01783561706543,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8116,5897,2219,197,97,50,38,12,0,0,0,0,0,170,699.2757320404053,25.964736938476562,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8908,4403,4505,202,108,50,25,25,0,0,0,0,0,108,470.29781341552734,19.64116096496582,128,voice
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",5660,592,5068,158,82,50,4,46,0,0,0,0,0,82,5491.078853607178,2065.8087730407715,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",18493,2359,16134,1262,82,50,14,36,0,0,0,0,0,86,5712.405443191528,2564.9936199188232,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",5436,1746,3690,194,82,50,9,41,0,0,0,0,0,90,515.6741142272949,189.7144317626953,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13559,2458,11101,411,79,50,19,31,0,0,0,0,0,164,600.9519100189209,31.261682510375977,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16752,6287,10465,1262,86,50,22,28,0,0,0,0,0,1262,1058.2046508789062,306.2329292297363,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20511,1384,19127,1262,122,50,2,48,0,0,0,0,0,403,923.060417175293,25.328874588012695,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6116,1522,4594,198,82,50,9,41,0,0,0,0,0,90,2794.9628829956055,618.63112449646,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17303,2852,14451,1262,86,50,17,33,0,0,0,0,0,153,566.6797161102295,25.05636215209961,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13283,3267,10016,411,86,50,24,26,0,0,0,0,0,403,461.1046314239502,19.6530818939209,128,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10964,8484,2480,1262,86,50,37,13,0,0,0,0,0,182,4525.100469589233,502.0332336425781,128,voice
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",18727,398,18329,411,79,50,4,46,0,0,0,0,0,403,889.8425102233887,25.33435821533203,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20132,6995,13137,1262,86,50,16,34,0,0,0,0,0,403,1199.6853351593018,470.8733558654785,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16233,3736,12497,1262,86,50,24,26,0,0,0,0,0,149,429.02636528015137,20.9197998046875,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17924,1361,16563,411,79,50,9,41,0,0,0,0,0,403,800.3246784210205,21.42620086669922,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13786,3968,9818,411,122,50,25,25,0,0,0,0,0,403,466.5689468383789,21.125078201293945,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17031,8141,8890,1262,86,50,28,22,0,0,0,0,0,86,433.9163303375244,21.048784255981445,64,other
"('172.16.24.12', '224.0.0.251', 5353, 5353, 17)",13028,13028,0,560,100,50,50,0,0,0,0,0,0,482,39164.289712905884,9099.156141281128,255,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",7056,2476,4580,218,90,50,14,36,0,0,0,0,0,170,5379.9920082092285,825.566291809082,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14889,2218,12671,411,86,50,18,32,0,0,0,0,0,403,599.8241901397705,21.095991134643555,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14504,2668,11836,1262,86,50,23,27,0,0,0,0,0,86,439.7900104522705,19.782066345214844,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20363,5938,14425,1262,79,50,11,39,0,0,0,0,0,411,1859.9762916564941,395.0498104095459,128,other
"('172.16.24.0', '172.16.48.81', 37132, 38858, 17)",6560,2912,3648,194,82,50,20,30,0,0,0,0,0,122,17256.216764450073,3929.903507232666,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",21050,292,20758,1262,79,50,2,48,0,0,0,0,0,403,2139.92977142334,630.7642459869385,128,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6944,2282,4662,218,90,50,13,37,0,0,0,0,0,122,5292.892694473267,567.4905776977539,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",22261,5256,17005,1262,86,50,6,44,0,0,0,0,0,403,798.8543510437012,25.128602981567383,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20259,482,19777,1262,79,50,3,47,0,0,0,0,0,182,1227.8156280517578,194.9152946472168,128,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",20468,18468,2000,1262,86,50,38,12,0,0,0,0,0,114,11174.034118652344,1096.315622329712,115,voice
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",7264,6684,580,250,86,50,46,4,0,0,0,0,0,86,850.0304222106934,35.22539138793945,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",10704,10704,0,1262,86,50,50,0,0,0,0,0,0,173,913.3577346801758,40.52281379699707,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",8423,5582,2841,411,86,50,38,12,0,0,0,0,0,403,745.7189559936523,40.59934616088867,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16793,3173,13620,1262,86,50,22,28,0,0,0,0,0,146,397.22299575805664,20.266056060791016,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",12196,5128,7068,411,79,50,31,19,0,0,0,0,0,165,606.6288948059082,33.15019607543945,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13882,3637,10245,411,122,50,24,26,0,0,0,0,0,403,480.14187812805176,20.383358001708984,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14164,8427,5737,1262,79,50,35,15,0,0,0,0,0,181,580.0528526306152,27.019262313842773,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6716,2480,4236,218,90,50,14,36,0,0,0,0,0,90,6314.995288848877,1050.3921508789062,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",7187,7065,122,187,90,50,49,1,0,0,0,0,0,102,943.7339305877686,33.216238021850586,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",11551,5335,6216,1262,79,50,41,9,0,0,0,0,0,167,805.607795715332,46.89812660217285,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14219,4120,10099,411,147,50,25,25,0,0,0,0,0,152,498.66247177124023,20.62511444091797,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",12802,3051,9751,411,87,50,24,26,0,0,0,0,0,87,459.0444564819336,19.557476043701172,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17894,6910,10984,1262,79,50,22,28,0,0,0,0,0,403,699.6712684631348,28.658151626586914,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13797,3979,9818,411,122,50,25,25,0,0,0,0,0,403,464.6601676940918,20.71380615234375,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17995,1652,16343,1262,79,50,11,39,0,0,0,0,0,403,640.1731967926025,24.439096450805664,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",12475,2589,9886,411,79,50,21,29,0,0,0,0,0,161,670.2048778533936,32.11069107055664,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13925,3826,10099,411,137,50,25,25,0,0,0,0,0,403,480.7586669921875,20.949363708496094,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6804,2874,3930,206,90,50,17,33,0,0,0,0,0,90,5695.077657699585,940.3722286224365,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16909,8308,8601,1262,86,50,28,22,0,0,0,0,0,147,414.9012565612793,24.034500122070312,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14212,3398,10814,411,90,50,22,28,0,0,0,0,0,411,508.0454349517822,20.925283432006836,64,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",20168,18086,2082,1262,86,50,37,13,0,0,0,0,0,158,11070.539236068726,1089.7462368011475,115,voice
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13196,4046,9150,411,122,50,26,24,0,0,0,0,0,403,419.22831535339355,21.495580673217773,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",15745,3842,11903,1262,86,50,24,26,0,0,0,0,0,403,441.76483154296875,21.66581153869629,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14421,2556,11865,411,79,50,20,30,0,0,0,0,0,146,575.7901668548584,24.776935577392578,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",15693,9933,5760,1262,86,50,33,17,0,0,0,0,0,175,1231.2955856323242,309.9198341369629,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",9898,6071,3827,1262,79,50,44,6,0,0,0,0,0,1262,897.5427150726318,28.98716926574707,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6780,2682,4098,206,90,50,15,35,0,0,0,0,0,186,4578.746795654297,602.6992797851562,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",15193,3618,11575,1262,90,50,23,27,0,0,0,0,0,142,438.3530616760254,25.49147605895996,128,other
"('172.16.24.0', '172.16.48.81', 37132, 38858, 17)",6772,3406,3366,194,90,50,23,27,0,0,0,0,0,90,18236.621379852295,1057.9142570495605,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13964,3964,10000,411,90,50,24,26,0,0,0,0,0,163,474.3790626525879,22.942304611206055,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",14010,3757,10253,411,89,50,24,26,0,0,0,0,0,411,479.0828227996826,20.864248275756836,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",15187,8241,6946,1262,79,50,32,18,0,0,0,0,0,79,616.7197227478027,114.99762535095215,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",12645,4842,7803,411,108,50,30,20,0,0,0,0,0,118,552.0308017730713,27.111053466796875,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16525,2653,13872,1262,79,50,20,30,0,0,0,0,0,403,458.3742618560791,21.602392196655273,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",10082,4602,5480,411,79,50,35,15,0,0,0,0,0,162,904.5665264129639,70.65844535827637,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13046,4437,8609,411,99,50,28,22,0,0,0,0,0,403,509.2730522155762,28.21207046508789,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16044,7154,8890,1262,86,50,28,22,0,0,0,0,0,154,446.605920791626,20.392894744873047,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6668,2546,4122,206,90,50,15,35,0,0,0,0,0,146,5223.085403442383,549.4682788848877,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",8554,5599,2955,411,79,50,40,10,0,0,0,0,0,89,770.8516120910645,33.31494331359863,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",15475,2383,13092,1262,79,50,19,31,0,0,0,0,0,146,803.6282062530518,28.315305709838867,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",10917,5540,5377,411,110,50,36,14,0,0,0,0,0,150,690.8314228057861,30.634164810180664,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16039,6600,9439,1262,86,50,26,24,0,0,0,0,0,403,440.3667449951172,20.0040340423584,128,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",20016,17998,2018,1262,86,50,37,13,0,0,0,0,0,158,11377.011060714722,1100.9507179260254,115,voice
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16999,8001,8998,1262,79,50,24,26,0,0,0,0,0,122,3119.391679763794,795.5625057220459,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6456,2178,4278,194,90,50,13,37,0,0,0,0,0,122,4804.96883392334,498.5647201538086,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",12115,3761,8354,411,90,50,27,23,0,0,0,0,0,123,534.0559482574463,31.049251556396484,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13637,3457,10180,411,90,50,22,28,0,0,0,0,0,403,468.68228912353516,20.85733413696289,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13430,6361,7069,1262,86,50,38,12,0,0,0,0,0,171,715.0387763977051,37.42718696594238,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",7664,7542,122,250,110,50,49,1,0,0,0,0,0,128,926.0072708129883,35.70222854614258,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",11559,9489,2070,1262,79,50,43,7,0,0,0,0,0,403,833.4157466888428,141.4167881011963,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13963,3864,10099,411,114,50,25,25,0,0,0,0,0,403,498.6574649810791,21.345138549804688,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",16894,2094,14800,1262,79,50,17,33,0,0,0,0,0,403,516.0431861877441,25.82716941833496,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6668,2554,4114,206,90,50,15,35,0,0,0,0,0,138,5974.900245666504,813.7843608856201,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17294,8855,8439,1262,86,50,27,23,0,0,0,0,0,403,2140.8050060272217,643.7947750091553,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13360,3261,10099,411,106,50,25,25,0,0,0,0,0,403,482.87200927734375,21.040916442871094,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",18512,2351,16161,1262,79,50,17,33,0,0,0,0,0,178,527.5883674621582,26.093244552612305,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13540,3441,10099,411,86,50,25,25,0,0,0,0,0,403,488.2357120513916,20.639419555664062,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",13922,9248,4674,1262,79,50,37,13,0,0,0,0,0,160,782.996416091919,199.24569129943848,64,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",16624,14606,2018,1262,86,50,37,13,0,0,0,0,0,118,12011.620998382568,1006.9997310638428,115,signalling
"('172.16.24.0', '172.16.48.81', 37132, 38858, 17)",6720,3188,3532,194,90,50,22,28,0,0,0,0,0,146,19870.588541030884,1051.6819953918457,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",10103,6921,3182,1262,79,50,43,7,0,0,0,0,0,250,2311.4097118377686,623.4428882598877,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6668,2862,3806,206,90,50,17,33,0,0,0,0,0,90,5670.291900634766,829.8180103302002,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",17870,268,17602,411,90,50,2,48,0,0,0,0,0,403,1470.5233573913574,645.0362205505371,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19360,542,18818,1262,86,50,3,47,0,0,0,0,0,403,2440.664529800415,549.4914054870605,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",21872,122,21750,1262,86,50,1,49,0,0,0,0,0,403,859.2045307159424,24.850130081176758,128,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6668,2700,3968,198,90,50,16,34,0,0,0,0,0,138,5085.1874351501465,611.9427680969238,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19288,146,19142,403,79,50,1,49,0,0,0,0,0,403,959.9359035491943,39.569854736328125,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20492,268,20224,1262,79,50,2,48,0,0,0,0,0,1262,1824.8813152313232,594.9394702911377,128,other
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",20016,17998,2018,1262,86,50,37,13,0,0,0,0,0,118,11686.975955963135,1106.778860092163,115,voice
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19439,352,19087,403,122,50,2,48,0,0,0,0,0,403,919.0595149993896,21.322965621948242,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19612,146,19466,403,122,50,1,49,0,0,0,0,0,403,939.734935760498,25.674819946289062,128,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6544,2620,3924,198,90,50,16,34,0,0,0,0,0,122,5660.159587860107,1049.1623878479004,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",21013,122,20891,1262,86,50,1,49,0,0,0,0,0,403,880.9092044830322,21.379947662353516,128,other
"('172.16.24.12', '224.0.0.251', 5353, 5353, 17)",13415,13415,0,530,100,50,50,0,0,0,0,0,0,229,56108.79731178284,8842.311143875122,255,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19612,146,19466,403,122,50,1,49,0,0,0,0,0,403,940.0994777679443,25.139808654785156,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19632,0,19632,403,90,50,0,50,0,0,0,0,0,403,939.7449493408203,25.24280548095703,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20840,352,20488,1262,86,50,2,48,0,0,0,0,0,403,859.5023155212402,21.402359008789062,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19612,146,19466,403,122,50,1,49,0,0,0,0,0,403,938.5647773742676,25.008678436279297,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19612,122,19490,403,122,50,1,49,0,0,0,0,0,403,938.6618137359619,24.607181549072266,128,other
"('172.16.24.0', '172.16.48.81', 37132, 38858, 17)",6584,3188,3396,194,90,50,22,28,0,0,0,0,0,90,18079.978942871094,1055.9325218200684,64,other
"('172.16.24.0', '172.16.48.81', 27396, 61983, 17)",6664,2744,3920,198,90,50,16,34,0,0,0,0,0,178,4954.490661621094,739.0172481536865,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19612,146,19466,403,122,50,1,49,0,0,0,0,0,403,938.507080078125,23.559093475341797,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",20840,352,20488,1262,86,50,2,48,0,0,0,0,0,403,871.1907863616943,24.317264556884766,64,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19034,146,18888,403,90,50,1,49,0,0,0,0,0,403,899.9629020690918,25.957107543945312,128,other
"('172.16.24.0', '172.16.48.81', 9431, 7391, 17)",19977,230,19747,403,230,50,1,49,0,0,0,0,0,403,959.4423770904541,25.506973266601562,128,other
